key,lastUpdateMoment,step,resolutionPercentage,accepted,draftMode,resolution,key:claim
trackingLog-14,2012/07/02 0:00,'' or 'A' = 'A,50.00,PENDING,true,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut",claim-00
# step - no singular values
# resolutionPercentage - standard variations
trackingLog-15,2012/07/02 0:00,Lorem ipsum dolor sit ame,0.00,PENDING,true,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut",claim-00
trackingLog-16,2012/07/02 0:00,Lorem ipsum dolor sit ame,0.01,PENDING,true,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut",claim-00
trackingLog-17,2012/07/02 0:00,Lorem ipsum dolor sit ame,99.99,PENDING,true,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut",claim-00
trackingLog-18,2012/07/02 1:00,Lorem ipsum dolor sit ame,100.00,ACCEPTED,true,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut",claim-00
trackingLog-19,2012/07/02 1:00,Lorem ipsum dolor sit ame,100.00,REJECTED,true,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut",claim-01
# resolutionPercentage - no singular values
# accepted - standard variations,""
trackingLog-20,2012/07/02 1:00,Lorem ipsum dolor sit ame,100.00,ACCEPTED,true,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut",claim-00
trackingLog-21,2012/07/02 1:00,Lorem ipsum dolor sit ame,100.00,REJECTED,true,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut",claim-01
# accepted - no singular values
# draftMode - standard variations
trackingLog-22,2012/07/02 0:00,Lorem ipsum dolor sit ame,50.00,PENDING,false,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut",claim-23
# draftMode - no singular values
# resolution - standard variations
trackingLog-23,2012/07/02 0:00,Lorem ipsum dolor sit ame,50.00,PENDING,true,L,claim-00
trackingLog-24,2012/07/02 0:00,Lorem ipsum dolor sit ame,50.00,PENDING,true,Lo,claim-00
trackingLog-25,2012/07/02 0:00,Lorem ipsum dolor sit ame,50.00,PENDING,true,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labor",claim-00
trackingLog-26,2012/07/02 0:00,Lorem ipsum dolor sit ame,50.00,PENDING,true,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore",claim-00
trackingLog-27,2012/07/02 0:00,Lorem ipsum dolor sit ame,50.00,PENDING,true,โลเร็ม อิปซัม,claim-00
trackingLog-28,2012/07/02 0:00,Lorem ipsum dolor sit ame,50.00,PENDING,true,لوريم إيبسوم,claim-00
trackingLog-39,2012/07/02 0:00,Lorem ipsum dolor sit ame,50.00,PENDING,true,洛伦·伊普森,claim-00
trackingLog-30,2012/07/02 0:00,Lorem ipsum dolor sit ame,50.00,PENDING,true,<marquee>Hacked</marquee>,claim-00
trackingLog-31,2012/07/02 0:00,Lorem ipsum dolor sit ame,50.00,PENDING,true,<script>alert(‘Hacked!’);</script>,claim-00
trackingLog-32,2012/07/02 0:00,Lorem ipsum dolor sit ame,50.00,PENDING,true,'' or 'A' = 'A,claim-00
# resolution - no singular values
# claim - no singular values
